"slug";"nome";"categoria";"tem_variacoes";"qtd_variacoes";"descricao";"imagem"
"pasta-multiuso-rosa-500g-sany";"Pasta Multiuso Rosa 500g - Sany";"cozinha";"não";"0";"Pasta rosa multiuso 500G - sany mix A Pasta Multiuso Rosa é o poderoso desengordurante da linha Sany Mix! Indicado para limpeza pesada em geral, principalmente em mármores, pisos e azulejos, a Pasta Multiuso Rosa tem ação desengraxante e polidora.";"https://static.wixstatic.com/media/8469f3_49b74e06adf44f7799a49bd395c4fac2~mv2.webp"
"saponaceo-cremoso-lavanda-sany-300ml";"Saponáceo Cremoso Lavanda Sany - 300ml";"cozinha";"não";"0";"- Auxiliam na remoção da sujeira mais difícil, facilitando a limpeza. Ideal para limpar pisos, lajotas, mármores, granitos, azulejos, cubas, pias, torneiras, balcões. Também recomendado para louças sanitárias e boxes.";"https://static.wixstatic.com/media/8469f3_fb7b8ce2512e4cb4b9b0a15c38f21d54~mv2.webp"
"naftalina-30g-sany";"Naftalina 30g - Sany";"produtos-de-limpeza";"não";"0";"A naftalina Sany Mix foi desenvolvida para cuidar dos seus armários, gavetas, estantes e sapateiras. Mantém o ambiente livre de alguns insetos. 30g | Em bolas";"https://static.wixstatic.com/media/8469f3_baa1f058483f4ff9b94992247ca4d8aa~mv2.webp"
"multi-inseticida-proinset-350ml";"Multi Inseticida Proinset 350ml";"produtos-de-limpeza";"não";"0";"o multi inseticida pro inset, de uso doméstico, é eficaz contra moscas, mosquitos e baratas. também mata o mosquito da dengue. desenvolvido em base aquosa, utiliza a mais moderna tecnologia.ação/ativos:indicação: eficaz contra insetos em ambientes abertos ou fechados.";"https://static.wixstatic.com/media/8469f3_33e376ae945745e3b895b65872a01e05~mv2.webp"
"brilha-inox-spray-super-dom-300ml-acao-duradoura-brilho-dom-line";"Brilha Inox Spray Super Dom 300ml Ação Duradoura Brilho Dom Line";"cozinha";"não";"0";"Brilha Inox Spray Super Dom 300ml Ação Duradoura Brilho Brilha Inox Spray Super Dom 300ml Ação Duradoura Brilho O Brilho Inox Domline foi desenvolvido para o uso diário na limpeza de superfícies e utensílios de inox, alumínio, plásticos e peças esmaltadas Com uma única operação, limpa, dá brilho e protege a superfície através de uma película protetora que evita a oxidação e facilita a limpeza e a manutenção com alto rendimento Pode ser aplicado em elevadores, geladeiras, fogões, bandejas, churrasqueiras, puxadores, barras de apoio, grades, corrimões, mesas, entre outros";"https://static.wixstatic.com/media/8469f3_51e57c32f6aa46ce819be89effa4d1b9~mv2.png"
"aromatizador-puro-ar-400ml";"Aromatizador Puro Ar 400ml";"aromatizadores";"sim";"4";"O Odorizador de Ambiente Puro Ar traz praticidade e facilidade para o seu dia a dia Desenvolvido e formulado com exclusivas fragrâncias, refresca os ambientes, deixando os locais suavemente perfumados É recomendado o uso em locais como banheiros, quartos, salas e escritórios
Aromas Disponíveis -Capim e limão -Citrus -Cravo e Canela -Erva Doce -Eucalipto -Lavanda -Pétalas de rosas -Talco -Vanilla -Vinólia";"https://static.wixstatic.com/media/8469f3_521e93fb36a649d6a3759fd2ff62f633~mv2.jpeg"
"acucar-sache-caravelas-cx-1000";"Açúcar Sache Caravelas Cx Com 1000";"diversos";"não";"0";"É o açúcar refinado granulado tipo exportação. Grãos menores e mais uniformes lhe conferem aparência nobre e cristalina, como pequenos diamantes. Absorve menos umidade e fica soltinho por mais tempo.";"https://static.wixstatic.com/media/8469f3_b446d1684f27424898a3337d50b08e65~mv2.png"
"suporte-papel-higienico-rolao";"Suporte Papel Higiênico Rolão 300m - Branco e Preto";"banheiro";"sim";"2";"Feito com materiais resistentes, duráveis e com acabamento de alto padrão, a Exaccta se torna peça-chave na composição de um ambiente moderno e requintado.- Fabricado em ABS de alta resistência ao impacto
Disponível nas cores branco e preta";"https://static.wixstatic.com/media/8469f3_f01361cf54c44eb88bac8dcdacb084bd~mv2.jpeg"
"toalheiro-para-toalha-bobina";"Toalheiro Para Toalha Bobina - Branco e Preto";"banheiro";"sim";"2";"Desenvolvido para suprir a atual necessidade dos estabelecimentos em proporcionar aos seus usuários uma experiência única a partir de um ambiente com mais personalidade e estilo próprio, sem deixar de lado, é claro, a qualidade e segurança.
Disponível na cor branca e preta.";"https://static.wixstatic.com/media/8469f3_e840303f4d0345e18480c847dd0ea210~mv2.jpeg"
"saboneteira-spray-para-alcool-e-sabonete-liquido";"Saboneteira Spray Para Álcool e Sabonete Líquido";"banheiro";"não";"0";"O sistema spray ejeta apenas 0,25ml de sabonete a cada acionamento, garantindo até 1.600 lavagens de mão por refil. Para um perfeito processo de higiene das mãos são necessários dois acionamentos, o que resulta em 0,5ml de produto.";"https://static.wixstatic.com/media/8469f3_9828e485773449f38aadde09c5167408~mv2.jpeg"
"suporte-papel-higienico-cai-cai-branco-e-preto";"Suporte Papel Higiênico Cai Cai - Branco e Preto";"papeis-e-panos";"sim";"2";"Dispenser Para Papel Higiênico Interfolhado CaiCai Cipla Qualidade e Praticidade em uma linha completa Mais higiene e praticidade Uso prático sem contato com os reservatórios
Disponível nas cores Branco e Preta";"https://static.wixstatic.com/media/8469f3_ca61f14daa6f49d4b9d26c0ce50b5d61~mv2.jpeg"
"saboneteira-pop-branca-ou-preta-com-reservatorio-de-800ml";"Saboneteira Pop branca ou preta com reservatório de 800ml";"banheiro";"sim";"2";"Desenvolvido e fabricado com tecnologia de ponta, utilizando materiais de alta resistência. Altamente Resistente! Confeccionado em plástico ABS
Disponível Na Cor Braca e Preta";"https://static.wixstatic.com/media/8469f3_0c2e17cc01654aac8c0a5a5a4d5ad501~mv2.jpeg"
"refil-sabonete-proteinas-do-leite-para-saboneteira-spray-800ml";"Refil Sabonete Proteínas do Leite Para Saboneteira Spray 800ml";"banheiro";"não";"0";"Sua formulação equilibrada deixa a pele macia mesmo com o uso constante e repetido, possui agradável perfume de proteinas do leite. O mecanismo do spray diminui o desperdício e entupimento, com maior pulverização";"https://static.wixstatic.com/media/8469f3_b3fcc775f0e94ac39db53230a55f2c05~mv2.jpeg"
"aromatizante-para-limpeza-asa";"Aromatizante para limpeza Asa";"aromatizadores";"não";"0";"Os aromatizadores da Linha Laranja e Canela trazem a sensação de aconchego, carinho e relaxamento.Um aroma cítrico com especiarias que promove relaxamento, ajudando o controle da ansiedade e insônia.
Aromas Disponíveis: floral, Lavanda, Talco e Laranja com canela";"https://static.wixstatic.com/media/8469f3_b6584d36b47c4dd5b7f7e0363e1a709f~mv2.jpeg"
"vassouras-color-mais-sanches-com-cabo";"Vassouras Color Mais Sanches Com Cabo";"equipamentos";"não";"0";"Traz com ela toda a praticidade da limpeza do dia a dia. Uma vassoura que contém cerdas plumadas que capturam melhor a sujeira, cerdas com aparação curva, facilitando o carregamento da sujeira.";"https://static.wixstatic.com/media/8469f3_e71323cc2bf24b79ba257968372bdbfe~mv2.jpg"
"vassoura-classica-sanches-com-cabo";"Vassoura Clássica Sanches Com Cabo";"equipamentos";"não";"0";"Uma vassoura que contém cerdas plumadas que capturam melhor a sujeira, cerdas com aparação curva, facilitando o carregamento da sujeira";"https://static.wixstatic.com/media/8469f3_cd5351f5b0994aedbe0a320799eac6e0~mv2.jpg"
"touca-tnt-descartavel-100-unidades";"Touca Tnt Descartável 100 Unidades";"descartaveis";"não";"0";"Indicada para uso na área gastronômica, estética e industrial. Possui elástico para melhor vedação. Recomendado uso único. Armazenar este produto em local limpo, seco, arejado e protegido da luz solar, vapores químicos e umidade.";"https://static.wixstatic.com/media/8469f3_43a170091a974d25a55d39f35a5681e1~mv2.png"
"tela-perfumada-para-mictorio";"Tela Perfumada Para Mictório";"aromatizadores";"não";"0";"Nobre As telas para mictório são confeccionadas em pvc, criando uma Barreira de retenção de sólidos, evitando o entupimento nas Tubulações dos sanitários. Ideais para qualquer tipo de mictório, Possuem fragrâncias de ação duradoura";"https://static.wixstatic.com/media/8469f3_83ad9c3b29f7490ca67c56c231a31b32~mv2.png"
"suporte-p-fibraco-manual";"Suporte P/ Fibraço Manual";"equipamentos";"não";"0";"onfeccionado em polipropileno este produto é durável e é um aliado para a limpeza de superfícies, sem prejudicar suas mãos, pois seu cabo anatômico ajuda no seu manuseio livrando as mãos de sofrerem um machucado ou de entrarem com contato com produtos químicos no momento da limpeza.";"https://static.wixstatic.com/media/8469f3_8ebcbccf3ab042e084e750ce5883214c~mv2.jpg"
"super-cloro-besser-5l";"Super Cloro Besser 5L";"produtos-de-limpeza";"não";"0";"Super Cloro Besser É um produto líquido a base de hipoclorito de sódio. Usado para higienização e desinfecção de banheiros, pisos, vasos sanitários, paredes, azulezos, pias, bancadas, equipamentos, utensílios, cozinhas, lixeiras, ralos e esgotos.";"https://static.wixstatic.com/media/8469f3_b54cea9ff0c64a27bff608caddb79d89~mv2.png"
"suporte-para-fibra-26cm";"Suporte Para Fibra 26cm";"equipamentos";"não";"0";"Suporte Para Bucha De Fibra Com Pinça Azul Suporte para buchas de fibra para Limpeza Leve Geral e Pesada, com cabo de alumínio. Ideal para limpar azulejos, paredes vidros e até mesmo para tirar o encardido de chãos.";"https://static.wixstatic.com/media/8469f3_7e8563d90400477da5c113a4be6630de~mv2.jpg"
"secante-para-lava-loucas-5l";"Secante Para Lava Louças 5L";"cozinha";"não";"0";"Mult Dry é um aditivo secante líquido à base de tensoativos não iônicos, que reduzem a tensão superfi cial da água. Indicado para acelerar a secagem de utensílios lavados em máquinas automáticas. Uso em máquinas de lavar louças automáticas.";"https://static.wixstatic.com/media/8469f3_ad835897a01f4cf0acccd48752d4c6b8~mv2.jpg"
"sacos-de-lixo-de-todas-micras-tamanhos-e-cores";"Sacos De Lixo De Todas Micras, Tamanhos e Cores";"descartaveis";"sim";"25";"Os sacos de lixos possuem uma ótima resistência, são fabricados em polietileno. Recomendados para descartar resíduos em alta quantidade e pesados. Contamos com sacos de lixos infectante para hospitais e clínicas";"https://static.wixstatic.com/media/8469f3_8d280ca1355f41aa9239118d2aab795c~mv2.jpg"
"rodo-de-plastico-40cm-e-60cm";"Rodo De Plástico 40cm e 60cm";"equipamentos";"não";"0";"Rodos plásticos 40cm, 60cm de ótima qualidade próprio para casas e banheiro e espaços maiores.";"https://static.wixstatic.com/media/8469f3_b0465739a68e4169b3506f71a964ee0e~mv2.png"
"refil-de-mop-umido";"Refil De Mop Umido";"equipamentos";"não";"0";"Refil para mop líquido com 85% de algodão e 15% de poliéster em sua composição. Tem alto poder de absorção e resistência. Suas pontas em Loop “arrastam” e seguram mais as sujidades otimizando a limpeza e o tempo despendido nas tarefas.";"https://static.wixstatic.com/media/8469f3_6da241f33dab46b0b4fd30829f5bcfbf~mv2.jpg"
"refil-para-mop-giratorio-360";"Refil Para Mop Giratório 360";"equipamentos";"não";"0";"Refil Para Mop Giratório Branco - Lavável e 100% microfibra. - Compatível com Mop Giratório de diversas marcas diferentes. Super resistente e durável, o Refil mop pode te ajudar em várias limpezas na sua casa, recomendado para limpeza de azulejo, janelas, pisos e superfícies lisas.";"https://static.wixstatic.com/media/8469f3_c752f9e96c9545719e211b616e25fc29~mv2.jpg"
"pulverizador-500ml";"Pulverizador 500ml";"diversos";"não";"0";"- Pulverizador/Borrifador Plástico para os mais variados fins
- Uso profissional ou doméstico
- Identificação no rótulo do conteúdo do frasco, lote e data de validade
- Tamanho: 23cm de altura (c/ gatilho)
- Capacidade: 500ml";"https://static.wixstatic.com/media/8469f3_8b8044a4e1534524b957bc767f288341~mv2.jpg"
"pratico-desengordurante-1l-e-5l";"Prático Desengordurante 1L e 5L";"cozinha";"sim";"2";"O desengordurante prático é que o você precisa para auxiliar na sua limpeza. Eles limpam as sujeiras mais pesadas sem a necessidade de água. Ideal para utilização em cozinhas residenciais e industriais, pois retira com eficiência a oleosidade de fogões, pias, coifas, utensílios domésticos entre outros.";"https://static.wixstatic.com/media/8469f3_14adb620f50643fc924f89c26aaa9bb6~mv2.jpg"
"pedra-sanitarias-sany-25g";"Pedra Sanitárias Sany 25g";"aromatizadores";"não";"0";"O odorizante sanitário Sany Mix contém, em sua composição, substâncias capazes de perfumar o ambiente e deixar seu banheiro muito mais agradável. Você encontra o produto nas fragrâncias: Jasmin, Floral, Lavanda e Eucalipto. Versão em 25g. Composição: Aglutinante, Isotiazolinonas, Corante e Essência.";"https://static.wixstatic.com/media/8469f3_71ea3912cda64e5d87ea92c91511782c~mv2.png"
"pastilhas-adesivas-sanitarias-cx-com-3";"Pastilhas Adesivas Sanitárias Cx com 3";"banheiro";"não";"0";"Sany Mix Pastilha Caixa Acoplada, mantém seu vaso sanitário limpo e com agradável perfume. A limpeza se inicia na caixa acoplada e se estende até as paredes do vaso sanitário, liberando uma agradável coloração na água a cada descarga.";"https://static.wixstatic.com/media/8469f3_8e394f3c7b9b49e9825b293b1e993dd6~mv2.jpg"
"pastilha-para-caixa-acoplada-50g";"Pastilha Para Caixa Acoplada 50g";"banheiro";"sim";"1";"Sany Mix Pastilha Caixa Acoplada, mantém seu vaso sanitário limpo e com agradável perfume. A limpeza se inicia na caixa acoplada e se estende até as paredes do vaso sanitário, liberando uma agradável coloração na água a cada descarga.";"https://static.wixstatic.com/media/8469f3_69de790f8ee5491ba6164a8c575e4f58~mv2.jpg"
"papel-toalha-interfolhas-ipel-fit-caixa-com-5000-folhas-27g";"Papel Toalha Interfolhas Ipel Fit Caixa com 5000 Folhas 27g";"papeis-e-panos";"não";"0";"Toalha de Papel possui em sua formatação uma coloração extra branca e que, além de proporcionar aos usuários uma maior maciez, este produto também é superabsorvente. Portanto combate o desperdício e traz muito mais qualidade, economia e boa aparência para as empresas.";"https://static.wixstatic.com/media/8469f3_15907c1fb3694e3fb0918de8f47ec5a0~mv2.png"
"papel-toalha-interfolhas-luxo-fardao-19g-5000-folhas";"Papel Toalha Interfolhas luxo fardão 19g 5000 Folhas";"papeis-e-panos";"não";"0";"Papel Toalha Interfolhas luxo fardão
Tamanho 20cm x 20cm
Toalha de Papel possui em sua formatação uma coloração extra branca e que, além de proporcionar aos usuários uma maior maciez, este produto também é superabsorvente. Portanto combate o desperdício e traz muito mais qualidade, economia e boa aparência para as empresas.";"https://static.wixstatic.com/media/8469f3_4fe456e56fcf40069d20d32829977c02~mv2.jpg"
"papel-toalha-interfolhas-caixa-com-5000-folhas-soft-28g";"Papel Toalha Interfolhas Caixa Com 5000 Folhas Soft 28g";"papeis-e-panos";"não";"0";"Toalha de Papel possui em sua formatação uma coloração extra branca e que, além de proporcionar aos usuários uma maior maciez, este produto também é superabsorvente. Portanto combate o desperdício e traz muito mais qualidade, economia e boa aparência para as empresas.";"https://static.wixstatic.com/media/8469f3_db1fa1cfe89d4789941adee66ea98b1b~mv2.jpg"
"papel-toalha-interfolhado-ipel";"Papel Toalha Interfolhado Ipel Folha Dupla 30g Cx com 2000";"papeis-e-panos";"não";"0";"áxima absorção e resistência. As folhas saem uma a uma da embalagem, aumentando a produtividade e diminuindo o desperdício. Toque macio, não esfarelam e não deixam resíduos nas mãos e no rosto.";"https://static.wixstatic.com/media/8469f3_15907c1fb3694e3fb0918de8f47ec5a0~mv2.png"
"papel-toalha-bobina-premium-38g-fardo-com-6-rolos-200m";"Papel Toalha Bobina Premium 38g Fardo Com 6 rolos 200m";"papeis-e-panos";"não";"0";"Papel de alta qualidade e R.U ( resistência a umidade ), não reciclado, indicado para uso em hospitais, clínicas, consultórios pois evita a contaminação após a lavagem das mãos";"https://static.wixstatic.com/media/8469f3_ce7ba725a6e842589a203600ed12877b~mv2.jpg"
"papel-toalha-bobina-28g-fardo-com-6-rolos";"Papel Toalha Bobina 28g Fardo Com 6 rolos";"papeis-e-panos";"não";"0";"Papel de alta qualidade e R.U ( resistência a umidade ), não reciclado, indicado para uso em hospitais, clínicas, consultórios pois evita a contaminação após a lavagem das mãos";"https://static.wixstatic.com/media/8469f3_4c81221d5d3e49198710093671503bc9~mv2.jpg"
"papel-toalha-bobina-ipel-28g-fardo-com-6-rolos";"Papel Toalha Bobina Ipel 28g Fardo Com 6 rolos";"papeis-e-panos";"não";"0";"Papel de alta qualidade e R.U ( resistência a umidade ), não reciclado, indicado para uso em hospitais, clínicas, consultórios pois evita a contaminação após a lavagem das mãos";"https://static.wixstatic.com/media/8469f3_d1d5de4b321a46ba80434c67122951c9~mv2.png"
"papel-higienico-rolao-200mt-folha-dupla-caixa-com-8-rolos";"Papel Higiênico Rolão 200mt Folha Dupla Caixa Com 8 rolos";"papeis-e-panos";"não";"0";"Papel Higiênico Rolão 200mt Folha Dupla Caixa Com 8 rolos
Contém 8 rolos de 200m x 10cm";"https://static.wixstatic.com/media/8469f3_26bf0b9c7b1b4cf1ae69fb4f007b69e0~mv2.jpg"
"papel-higienico-cai-cai-ipel";"Papel Higiênico Cai Cai Folha Dupla Ipel Caixa com 8000 Folhas";"descartaveis";"não";"0";"Papel Higiênico Interfolhado Folha Dupla Caixa com 8000 Folhas Sulleg. Ideal para dispenser de papel higiênico, próprio para banheiros movimentados, o papel interfolha da marca Sulleg possui alto grau de alvura, alto poder de absorção, é gofrado, e macio, proporcionando conforto até para os usuários mais exigentes.";"https://static.wixstatic.com/media/8469f3_a10f534734a94e84937381eb4c54b386~mv2.png"
"pano-multiuso-600-unidades";"Pano Multiuso 600 Unidades";"papeis-e-panos";"não";"0";"Uso geral para limpeza e secagem de superfícies e utensílios sendo direcionando para vários tipos de segmentos. Indicado para a limpeza rápida, prática e eficaz de indústrias, comércios, segmento alimentício e domiciliar. Ideal para locais onde é exigido o máximo de higiene.";"https://static.wixstatic.com/media/8469f3_08e5d3a189e743f3aaa8470b0590eddf~mv2.png"
"pano-multiuso-60-unidades";"Pano Multiuso 60 Unidades";"papeis-e-panos";"sim";"2";"Embalagem c/ 60 unidade. Cores: Azul; Dimensões: 30 metros X 30 cm picotado a cada 50cm; Composição: 50% Viscose e 50% Poliéster. Limpa, lava, seca e dá brilho";"https://static.wixstatic.com/media/8469f3_e7cb39a03e03484280d8f9d90b4fc13a~mv2.png"
"pano-multiuso-nobre-5-unidades";"Pano Multiuso Nobre 5 Unidades";"papeis-e-panos";"não";"0";"Prático e resistente, o Pano Multiuso Nobre é ideal para a limpeza. Possui alta absorção, sendo um grande aliado para diversas necessidades. É um produto versátil, já que lava, seca, tira o pó e da brilho";"https://static.wixstatic.com/media/8469f3_752a42d68bee4075b100f2afd853e288~mv2.jpg"
"pano-fraldina-para-limpeza";"Pano Fraldina Para Limpeza";"papeis-e-panos";"não";"0";"O Pano fraldinha pode ser usado tanto na cozinha quanto na limpeza da casa! É multifunção, serve como pano de copa e pia mas é bastante eficiente na limpeza de bancadas; mesas; eletrodomésticos etc.";"https://static.wixstatic.com/media/8469f3_a157b79bb3de4ef1919d933b300ef782~mv2.jpg"
"pano-de-prato-branco";"Pano De Prato Branco";"papeis-e-panos";"não";"0";"Panos de prato são artigos que não pode faltar na sua cozinha para secar louças e auxiliar em alguns momentos de preparos de alimentos. -Os panos de prato são bem encorpados e reforçados garantindo a qualidade do produto";"https://static.wixstatic.com/media/8469f3_b2b8a5dc826b4b2fb33e59c6491b2ffc~mv2.jpg"
"pano-de-chao-saco-alvejado-mesclado-35x65";"Pano De Chão Saco Alvejado Mesclado 35X65";"papeis-e-panos";"não";"0";"Pano para limpeza geral de pisos. CARACTERÍSTICAS DO PRODUTO: Saco para chão confeccionado com residuos testeis e algodão, pano com textura lisa. COR: Cinza";"https://static.wixstatic.com/media/8469f3_c5010890dcc6444aaeedde1979a0575b~mv2.jpg"
"pano-de-chao-saco-alvejado-branco-40x70";"Pano de chão saco alvejado branco 40x70";"papeis-e-panos";"sim";"1";"Panos para limpeza de chão sacos alvejados 100% algodão que é ideial para todo tipo de limpeza em geral sendo retulizavel é recomendado para os locais com todo tipo de fluxo de pessoas e que não abrem mão do padrão de qualidade. Como por exemplo: indústrias, hospitais, shoppings, aeroportos, etc.";"https://static.wixstatic.com/media/8469f3_c0f74f6ea4ec418ba8aacf482d84c681~mv2.png"
"pano-de-chao-economico-saco-alvejado";"Pano de chão econômico saco alvejado";"papeis-e-panos";"não";"0";"Pano De Chão Branco Alvejado , feito com sacaria de excelente qualidade 100% algodão, super absorvente, não solta fiapos nem pelinhos, fácil de torcer, indicado para uso geral.";"https://static.wixstatic.com/media/8469f3_dc188f89f5eb430c81df60654079f231~mv2.jpg"
"pa-jeitosa-com-cabo";"Pá Jeitosa Com Cabo";"equipamentos";"não";"0";"á coletora para lixo com cabo de aço e lâmina flexível em PVC para ajuda na coleta de resíduos mais finos. Cabo se ajusta no corpo da pá conforme posição da coleta do lixo em relação ao solo. Com uma excelente ergonomia, evita lesões durante a limpeza, e sua manopla revestida ameniza o uso prolongado. Ideal para limpeza interna e externa, e para locais de alto tráfego que exija limpeza constante.";"https://static.wixstatic.com/media/8469f3_141797d6232041148c0725bb6ec15acc~mv2.png"
"pa-de-lixo-coletora";"Pá De Lixo Coletora";"equipamentos";"não";"0";"As pás coletoras possuem um design moderno que agrega eficiência, agilidade e conforto para as tarefas de limpeza.
Outro importante diferencial do produto é a frente rebaixada, que facilita a captação da sujeira, e o encaixe angulado para o cabo, que proporciona maior ergonomia na hora da limpeza.";"https://static.wixstatic.com/media/8469f3_7ee33a375c904f688330a46a7eaa9a07~mv2.png"
"pa-de-lixo-cabo-longo";"Pá De Lixo Cabo Longo";"equipamentos";"não";"0";"Pá de Lixo C/ Cabo Santa Maria Pá de plástico com cabo, produto de alta resistência ideal para todos os tipos de lixo. Com cabo ergonômico fazendo com que o utilizador não precise se curvar ao pegar o lixo, prevenindo assim eventuais problemas de coluna e afastamento.";"https://static.wixstatic.com/media/8469f3_c0142acc285e41f48b1b27e6e3e5e98d~mv2.jpg"
"pa-para-lixo-cabo-curto";"Pá Para Lixo Cabo Curto";"diversos";"não";"0";"Pá para lixo plástica Cabo curto, com furo para pendurar. Disponível em várias cores. Indicado para retirar resíduos de sujeira após varrer os ambientes. Item indispensável em qualquer casa. Material de alta qualidade. Composição: Polipropileno.";"https://static.wixstatic.com/media/8469f3_2883eb28e12f45dab1c0ea4482dcc09a~mv2.jpg"
"detergente-para-maquina-de-lavar-louca";"Detergente Para Máquina De lavar Louça";"cozinha";"não";"0";"Detergente concentrado é especialmente indicado para utilização em máquinas de lavar louça . O produto possui baixa formação de espuma e alto poder de remoção de resíduos alimentares e gordurosos comuns em cozinhas como: gordura vegetal e animal, molhos, amidos, proteínas, etc., tudo por conter agentes desengordurantes e de limpeza especiais de alta tecnologia.";"https://static.wixstatic.com/media/8469f3_d994adbfade2418ca14c1d16e9b57f51~mv2.png"
"multiuso-pink-5-litros-e-1-litro-4-em-1";"Multiuso Pink 5 litros e 1 Litro-4 em 1";"cozinha";"sim";"1";"Multiuso 4 em 1 Wave: limpa, desengordura, dá brilho e perfuma! Indicado para limpeza geral e pesada, tem o aspecto de detergente e pode ser diluído para maior rendimento: até 1 litro ou uma parte do produto com mais 10 litros ou 10 partes de água iguais.";"https://static.wixstatic.com/media/8469f3_7d4dccf3fb174451a14eb0fb72c63f48~mv2.png"
"cera-liquida-5l";"Cera Líquida 5L";"produtos-de-limpeza";"não";"0";"Cera líquida Vermelha 5 litros Guanabara. Dá brilho em diversos tipos de piso. A base de água.";"https://static.wixstatic.com/media/8469f3_5bdd242bc323483f97cebb038053763f~mv2.jpg"
"desinfetante-hospitalar-bactgerm";"Desinfetante Hospitalar Bactgerm";"produtos-de-limpeza";"não";"0";"Utilizado em pisos, paredes equipamentos e moveis. Produto com ação Bactericida, fungicida e virucida, seu poder tensoativo rompe as barreiras que protegem a colonia microbiana, agindo com eficiencia e rapidez. Tempo de contato 10 minutos.";"https://static.wixstatic.com/media/8469f3_74650e299587435193af640de49dc71f~mv2.jpg"
"mult-espuma-desincrustante-5l";"Mult Espuma Desincrustante 5L";"cozinha";"não";"0";"Detergentes alcalinos para limpeza pesada. Indicados para remoção de gorduras carbonizadas ou não, em áreas de manipulação de alimentos em geral. Com fórmulas ricas em alcalinidade, atacam de forma eficiente as sujidades mais pesadas
Detergentes alcalinos para limpeza pesada. Indicados para remoção de gorduras carbonizadas ou não, em áreas de manipulação de alimentos em geral. Com fórmulas ricas em alcalinidade, atacam de forma eficiente as sujidades mais pesadas";"https://static.wixstatic.com/media/8469f3_b9d311d6d6f247b39722ef64460dd560~mv2.png"
